,Unnamed: 0,track_id,track_name,artist_name,acousticness,energy,danceability,duration_ms,liveness,tempo,valence,release_date
3207,3224,2NoKRHt8LVpnQMVl3TPwvu,Tity and Dolla (feat. Hugh Augustine & Jay Rock),Isaiah Rashad,0.324,0.602,0.7170000000000001,298035,0.0923,124.003,0.539,2016-09-02
3208,3225,3alHbyYItxyiKQaCAmZ2tC,Sit Down,Kevin Gates,0.258,0.83,0.753,260214,0.359,115.765,0.645,2014-12-15
3209,3226,13kD8QKxGoDmOYotIeRo2T,Ain't Nothing,Juicy J,0.00424,0.594,0.77,196507,0.2,169.024,0.463,2017-02-06
3210,3227,6ZA3Q8Dj5BrnmOsT300DCh,Ice Cream Man,Tyga,0.16699999999999998,0.67,0.902,186672,0.107,144.07,0.39,2015-08-24
3211,3228,28GUjBGqZVcAV4PHSYzkj2,So Good,B.o.B,0.0403,0.9,0.66,213253,0.219,85.51,0.591,2012-04-27
3212,3229,5uvwJAheJJEkgu88t3Wqf5,Remind Me,Eminem,0.13699999999999998,0.8690000000000001,0.754,225173,0.752,93.77,0.784,2017-12-15
3213,3230,347hgqCHnL4GfgVX5hZfNv,Daddy's Birthday,Young Thug,0.203,0.37,0.845,208920,0.104,152.94899999999996,0.269,2017-06-16
3214,3231,2vNyWYQtbrgOKcSG64SZMJ,Space for Two,Mr. Probz,0.466,0.6,0.477,206311,0.0688,159.972,0.486,2018-03-09
3215,3232,0YImOCkIJ2PWhCXaURCZnY,I Know What You Want,Busta Rhymes,0.0142,0.759,0.648,324307,0.648,85.99600000000002,0.518,2002-11-26
3216,3233,2714ySK1pbOIGZwABmRyAz,"New Phone, Who Dis?",Flatbush Zombies,0.278,0.506,0.843,331347,0.129,122.448,0.441,2016-03-11
3217,3234,2A9rFFPwsnhusCh8ZMBvYY,Nobody Speak,DJ Shadow,0.0405,0.8140000000000001,0.621,195966,0.263,160.066,0.304,2016-06-24
3218,3235,4lH6nENd1y81jp7Yt9lTBX,Solo,Future,0.0538,0.486,0.784,265996,0.101,110.964,0.0894,2017-07-27
3219,3236,2qTUM0zSBE0NVnyRndmz9b,Wassup with It,Kevin Gates,0.114,0.8240000000000001,0.457,193333,0.0787,144.416,0.601,2014-12-15
3220,3237,7otz0Bo4orUxz1a0CQSofH,About U (feat. DRAM),Valee,0.0739,0.573,0.805,229893,0.0868,82.52,0.765,2018-12-21
3221,3238,090R9OdFMbQQksvwuXmNEY,Let It Sing,Kevin Gates,0.0392,0.728,0.737,195456,0.159,144.964,0.5870000000000001,2018-05-16
3222,3239,3MlLMID86qXhSMDhniWqH1,Worth It,Roy Woods,0.181,0.552,0.7040000000000001,192632,0.103,76.006,0.132,2019-02-08
3223,3240,2YYvZyVDx0GxkoAYyHyV24,Tied Up,Casey Veggies,0.182,0.721,0.6,193547,0.256,94.939,0.371,2015-09-25
3224,3241,4fINc8dnfcz7AdhFYVA4i7,It Girl,Jason Derulo,0.0165,0.718,0.6679999999999999,192200,0.104,91.993,0.345,2011-09-16
3225,3242,2MAaiV0bbeq4FpSwPe2rR8,Find a Way,A Tribe Called Quest,0.0352,0.581,0.773,203067,0.485,94.093,0.711,1998-09-29
3226,3243,4pqiLICe0uTHb9WfY02ek9,Trouble,J. Cole,0.174,0.474,0.74,258400,0.153,107.454,0.0818,2013-06-14
3227,3244,2Ima72UXnfvR539afL3SAF,Hold You Down,DJ Khaled,0.195,0.6809999999999999,0.525,293120,0.141,151.875,0.4370000000000001,2015-10-23
3228,3245,3I0FBDc1c1BLNtXWKVjmFg,untitled 02 | 06.23.2014.,Kendrick Lamar,0.341,0.506,0.526,258827,0.6459999999999999,85.34899999999998,0.0963,2016-03-04
3229,3246,61zTSexBvC42Db8jxMHuKx,Handsome And Wealthy,Migos,0.00348,0.665,0.858,210557,0.094,146.031,0.237,2014-06-03
3230,3247,1Mb187X5w3OUQNH6P5M28Y,Ex (feat. YG),Ty Dolla $ign,0.0116,0.426,0.77,163133,0.273,102.056,0.523,2017-10-27
3231,3248,1ljvc5fYmgG1qxGKZYzfwG,Ayy (feat. YG & Logic),Berner,0.106,0.622,0.821,247007,0.11,140.971,0.411,2019-02-13
3232,3249,29tkqsk8vLErpmsASYcAOg,Look Like,Yung Pinch,0.0249,0.523,0.8059999999999999,226154,0.11,130.075,0.62,2016-10-10
3233,3250,7i7UIbm5E0DD7aSOYvwp2v,Oh,Ciara,0.000298,0.496,0.8,256347,0.0697,128.29,0.35700000000000004,2004-09-27
3234,3251,1F1QmI8TMHir9SUFrooq5F,Buff Baby,Tobi Lou,0.19,0.643,0.736,215385,0.106,156.002,0.599,2018-04-27
